#    Equipo    PJ    PG   PE   PP   GF   GC    DIF   PTS
1  Toluca  2  2  0  3  0  3  6
2  Pachuca  2  2  0  4  0  4  6
3  America  2  1  1  1  3  -2  4
4  Chivas  2  1  1  3  1  2  4
5  Chivas  2  1  0  0  0  0  3
6  Pachuca  2  0  2  0  3  -3  2
7  Toluca  2  0  2  0  4  -4  2
8  America  2  0  1  0  0  0  1
9  Toluca  2  2  0  3  2  1  6
10  America  2  2  0  4  0  4  6
11  Chivas  2  1  1  1  4  -3  4
12  Toluca  2  1  1  2  3  -1  4
13  Pachuca  2  1  1  3  2  1  4
14  America  2  1  1  4  1  3  4
15  Chivas  2  0  2  0  4  -4  2
16  Pachuca  2  0  2  2  3  -1  2

1  Toluca  4  2  2  0  2  -2  8
2  Pachuca  4  2  2  1  0  1  8
3  Chivas  4  3  1  2  0  2  10
4  America  4  2  1  4  3  1  7
5  America  4  1  3  0  1  -1  6
6  Pachuca  4  2  2  3  4  -1  8
7  Chivas  4  1  1  0  0  0  4
8  Toluca  4  1  2  0  0  0  5
9  Toluca  4  3  1  3  2  1  10
10  America  4  2  2  2  1  1  8
11  Chivas  4  2  1  3  3  0  7
12  America  4  3  0  4  4  0  9
13  Toluca  4  2  1  3  3  0  7
14  Pachuca  4  1  2  4  4  0  5
15  Chivas  4  0  4  2  3  -1  4
16  Pachuca  4  1  3  1  2  -1  6

1  Pachuca  6  3  2  3  2  1  11
2  Pachuca  6  4  2  3  0  3  14
3  Chivas  6  3  3  0  3  -3  12
4  America  6  1  4  2  4  -2  7
5  Toluca  6  1  3  0  2  -2  6
6  Toluca  6  3  2  4  2  2  11
7  Chivas  6  1  2  2  3  -1  5
8  America  6  3  1  2  0  2  10
9  Toluca  6  5  1  1  0  1  16
10  America  6  3  3  0  2  -2  12
11  Chivas  6  2  4  3  0  3  10
12  America  6  3  2  0  1  -1  11
13  Toluca  6  3  2  2  0  2  11
14  Pachuca  6  2  3  4  0  4  9
15  Chivas  6  2  2  0  4  -4  8
16  Pachuca  6  1  4  0  3  -3  7

1  Toluca  8  4  3  2  4  -2  15
2  Pachuca  8  4  4  0  1  -1  16
3  Chivas  8  4  4  0  3  -3  16
4  America  8  2  4  3  1  2  10
5  Toluca  8  2  4  4  2  2  10
6  Pachuca  8  5  2  1  0  1  17
7  Chivas  8  2  3  3  0  3  9
8  America  8  3  2  1  3  -2  11
9  Toluca  8  6  1  2  1  1  19
10  Pachuca  8  1  6  1  3  -2  9
11  Chivas  8  3  4  3  3  0  13
12  America  8  4  2  2  2  0  14
13  Toluca  8  3  3  1  2  -1  12
14  Pachuca  8  4  3  3  1  2  15
15  Chivas  8  2  3  3  3  0  9
16  America  8  3  4  2  2  0  13

1  Toluca  10  5  4  2  3  -1  19
2  Pachuca  10  5  4  0  0  0  19
3  Chivas  10  6  4  4  2  2  22
4  America  10  3  4  1  1  0  13
5  Toluca  10  2  5  0  0  0  11
6  Pachuca  10  6  3  3  2  1  21
7  Chivas  10  2  4  1  1  0  10
8  America  10  3  4  2  4  -2  13
9  Toluca  10  6  3  0  1  -1  21
10  Pachuca  10  2  7  3  0  3  13
11  Chivas  10  4  5  4  1  3  17
12  America  10  4  3  0  4  -4  15
13  Toluca  10  4  4  0  3  -3  16
14  Pachuca  10  6  3  1  0  1  21
15  Chivas  10  3  3  4  0  4  12
16  America  10  4  5  1  4  -3  17

1  Toluca  12  6  5  0  3  -3  23
2  Pachuca  12  7  4  3  1  2  25
3  Chivas  12  8  4  3  0  3  28
4  America  12  3  5  0  1  -1  14
5  Toluca  12  2  7  0  3  -3  13
6  Pachuca  12  7  3  1  0  1  24
7  Chivas  12  3  5  3  0  3  14
8  America  12  3  6  1  3  -2  15
9  Toluca  12  6  4  3  4  -1  22
10  Pachuca  12  2  8  0  0  0  14
11  Chivas  12  5  6  4  0  4  21
12  America  12  5  3  2  2  0  18
13  Toluca  12  5  5  0  4  -4  20
14  Pachuca  12  6  4  2  2  0  22
15  Chivas  12  4  3  4  3  1  15
16  America  12  5  5  0  0  0  20

1  Toluca  14  8  5  3  2  1  29
2  Pachuca  14  8  5  1  4  -3  29
3  Chivas  14  8  5  0  3  -3  29
4  America  14  4  5  3  3  0  17
5  Toluca  14  2  8  3  3  0  14
6  Pachuca  14  8  3  3  0  3  27
7  Chivas  14  4  6  4  1  3  18
8  America  14  3  8  2  3  -1  17
9  Toluca  14  6  6  0  3  -3  24
10  Pachuca  14  2  10  1  2  -1  16
11  Chivas  14  5  7  2  2  0  22
12  America  14  6  4  4  3  1  22
13  Toluca  14  6  6  3  4  -1  24
14  Pachuca  14  7  4  2  2  0  25
15  Chivas  14  6  3  2  1  1  21
16  America  14  7  5  3  0  3  26

1  Toluca  16  9  5  4  2  2  32
2  Pachuca  16  8  6  0  4  -4  30
3  Chivas  16  9  6  1  0  1  33
4  America  16  4  5  0  0  0  17
5  Toluca  16  3  9  4  2  2  18
6  Pachuca  16  9  3  4  3  1  30
7  Chivas  16  6  6  3  0  3  24
8  America  16  3  10  0  3  -3  19
9  Toluca  16  6  7  2  4  -2  25
10  Pachuca  16  3  10  4  0  4  19
11  Chivas  16  6  8  0  1  -1  26
12  America  16  6  4  0  0  0  22
13  Toluca  16  7  7  2  4  -2  28
14  Pachuca  16  7  5  3  4  -1  26
15  Chivas  16  6  5  0  3  -3  23
16  America  16  9  5  3  0  3  32

1  Toluca  18  11  5  4  3  1  38
2  Pachuca  18  9  7  3  0  3  34
3  Chivas  18  11  6  4  2  2  39
4  America  18  5  5  2  1  1  20
5  Toluca  18  4  10  1  0  1  22
6  Pachuca  18  9  5  1  3  -2  32
7  Chivas  18  7  6  4  4  0  27
8  America  18  4  11  1  2  -1  23
9  Toluca  18  7  8  0  3  -3  29
10  Pachuca  18  3  12  3  4  -1  21
11  Chivas  18  6  9  1  2  -1  27
12  America  18  6  6  2  4  -2  24
13  Toluca  18  9  7  3  1  2  34
14  Pachuca  18  8  6  0  1  -1  30
15  Chivas  18  7  6  2  1  1  27
