
visitante   vs    local     marcador   
1        Toluca        Pachuca        0        2
2        Pachuca        Toluca        2        0
3        Chivas        America        2        0
4        America        Chivas        2        4
5        Cruz Azul        Atlante        0        3
6        Atlante        Cruz Azul        2        0
7        Atlas        Pumas        3        4
8        Pumas        Atlas        4        3

1        Toluca        Chivas        2        4
2        Pachuca        America        0        3
3        Chivas        Toluca        3        4
4        America        Pachuca        0        0
5        Cruz Azul        Atlas        4        3
6        Atlante        Pumas        2        3
7        Atlas        Cruz Azul        0        4
8        Pumas        Atlante        0        3

1        Toluca        America        1        4
2        Pachuca        Chivas        0        1
3        Chivas        Pachuca        4        1
4        America        Toluca        4        2
5        Cruz Azul        Pumas        0        0
6        Atlante        Atlas        2        2
7        Atlas        Atlante        3        4
8        Pumas        Cruz Azul        2        3

1        Toluca        Cruz Azul        3        0
2        Pachuca        Atlante        2        2
3        Chivas        Atlas        3        4
4        America        Pumas        2        1
5        Cruz Azul        Toluca        1        3
6        Atlante        Pachuca        4        3
7        Atlas        Chivas        1        3
8        Pumas        America        4        4

1        Toluca        Atlante        1        1
2        Pachuca        Cruz Azul        0        4
3        Chivas        Pumas        0        2
4        America        Atlas        0        0
5        Cruz Azul        Pachuca        0        4
6        Atlante        Toluca        4        3
7        Atlas        America        3        2
8        Pumas        Chivas        0        4

1        Toluca        Atlas        4        0
2        Pachuca        Pumas        3        3
3        Chivas        Cruz Azul        1        0
4        America        Atlante        4        2
5        Cruz Azul        Chivas        4        2
6        Atlante        America        4        3
7        Atlas        Toluca        0        3
8        Pumas        Pachuca        3        2

1        Toluca        Pumas        0        0
2        Pachuca        Atlas        1        1
3        Chivas        Atlante        1        0
4        America        Cruz Azul        2        2
5        Cruz Azul        America        1        3
6        Atlante        Chivas        0        3
7        Atlas        Pachuca        3        4
8        Pumas        Toluca        2        4

