#    Equipo    PJ    PG   PE   PP   GF   GC    DIF   PTS
1        Toluca        2        2        0        2        0        2        6
2        Cruz Azul        2        2        0        4        2        2        6
3        Chivas        2        1        0        1        1        0        3
4        Atlas        2        1        0        3        3        0        3
5        Pachuca        2        0        2        0        2        -2        2
6        Atlante        2        0        2        2        4        -2        2
7        America        2        0        1        1        1        0        1
8        Pumas        2        0        1        3        3        0        1
9        Toluca2        2        2        0        3        1        2        6
10        Atlas2        2        2        0        3        0        3        6
11        Atlante2        2        1        0        1        1        0        3
12        America2        2        1        0        3        0        3        3
13        Pumas2        2        0        2        0        3        -3        2
14        Pachuca2        2        0        2        1        3        -2        2
15        Cruz Azul2        2        0        1        1        1        0        1
16        Chivas2        2        0        1        0        3        -3        1

1        Cruz Azul        4        4        0        4        0        4        12
2        Toluca        4        3        0        3        2        1        9
3        Atlante        4        1        3        4        3        1        6
4        Atlas        4        1        2        0        4        -4        5
5        Pachuca        4        1        2        3        0        3        5
6        Chivas        4        1        1        2        3        -1        4
7        America        4        0        2        0        3        -3        2
8        Pumas        4        1        2        3        4        -1        5
9        Atlas2        4        4        0        4        0        4        12
10        Toluca2        4        3        0        3        0        3        9
11        Atlante2        4        3        0        4        3        1        9
12        America2        4        1        2        1        3        -2        5
13        Cruz Azul2        4        0        3        0        4        -4        3
14        Pachuca2        4        2        2        3        1        2        8
15        Chivas2        4        0        2        0        3        -3        2
16        Pumas2        4        0        4        3        4        -1        4

1        Toluca        6        3        2        0        2        -2        11
2        Pachuca        6        2        3        1        0        1        9
3        Pumas        6        2        3        4        1        3        9
4        America        6        2        2        2        0        2        8
5        Cruz Azul        6        5        1        1        4        -3        16
6        Atlante        6        2        4        0        2        -2        10
7        Atlas        6        2        3        2        0        2        9
8        Chivas        6        2        2        0        1        -1        8
9        Atlas2        6        5        0        1        1        0        15
10        Pachuca2        6        2        4        0        1        -1        10
11        Chivas2        6        2        2        1        0        1        8
12        America2        6        3        2        3        0        3        11
13        Cruz Azul2        6        1        4        0        1        -1        7
14        Atlante2        6        3        1        1        1        0        10
15        Toluca2        6        3        2        0        3        -3        11
16        Pumas2        6        1        5        1        0        1        8

1        Pumas        8        4        3        2        0        2        15
2        Pachuca        8        2        5        0        2        -2        11
3        Chivas        8        2        3        0        3        -3        9
4        America        8        2        4        0        2        -2        10
5        Cruz Azul        8        5        2        0        2        -2        17
6        Atlante        8        4        4        2        0        2        16
7        Atlas        8        3        3        3        0        3        12
8        Toluca        8        4        2        2        0        2        14
9        Toluca2        8        3        3        4        4        0        12
10        Pachuca2        8        3        5        3        0        3        14
11        Chivas2        8        2        4        0        3        -3        10
12        America2        8        3        2        1        1        0        11
13        Cruz Azul2        8        2        4        4        4        0        10
14        Atlante2        8        4        2        0        3        -3        14
15        Atlas2        8        7        0        3        0        3        21
16        Pumas2        8        1        5        1        1        0        8

1        Toluca        10        5        3        0        4        -4        18
2        Pachuca        10        4        5        3        2        1        17
3        Chivas        10        3        4        1        0        1        13
4        America        10        2        6        1        2        -1        12
5        Cruz Azul        10        5        4        2        3        -1        19
6        Atlante        10        5        5        4        0        4        20
7        Atlas        10        5        3        2        1        1        18
8        Pumas        10        5        4        0        1        -1        19
9        Toluca2        10        5        3        4        0        4        18
10        Pachuca2        10        4        6        1        2        -1        18
11        Chivas2        10        2        6        0        4        -4        12
12        America2        10        3        3        0        0        0        12
13        Cruz Azul2        10        3        5        2        1        1        14
14        Atlante2        10        4        4        0        4        -4        16
15        Atlas2        10        8        0        0        0        0        24
16        Pumas2        10        3        5        4        0        4        14

1        Toluca        12        5        5        2        3        -1        20
2        Pachuca        12        4        6        0        0        0        18
3        Chivas        12        4        5        0        2        -2        17
4        America        12        2        7        2        3        -1        13
5        Cruz Azul        12        6        5        2        0        2        23
6        Atlante        12        6        5        3        2        1        23
7        Atlas        12        7        3        3        2        1        24
8        Pumas        12        6        4        0        0        0        22
9        Toluca2        12        6        3        4        3        1        21
10        Pachuca2        12        5        7        1        4        -3        22
11        Chivas2        12        3        7        4        0        4        16
12        America2        12        3        4        0        0        0        13
13        Cruz Azul2        12        4        6        0        4        -4        18
14        Atlante2        12        5        4        0        0        0        19
15        Atlas2        12        8        1        3        4        -1        25
16        Pumas2        12        4        6        4        1        3        18

1        Toluca        14        6        6        2        3        -1        24
2        Pachuca        14        5        6        2        1        1        21
3        Chivas        14        6        5        3        1        2        23
4        America        14        2        9        0        1        -1        15
5        Cruz Azul        14        8        5        1        0        1        29
6        Atlante        14        6        7        1        3        -2        25
7        Atlas        14        7        4        1        2        -1        25
8        Pumas        14        7        5        3        2        1        26
9        Toluca2        14        7        4        3        4        -1        25
10        Pachuca2        14        5        9        0        2        -2        24
11        Chivas2        14        5        7        3        0        3        22
12        America2        14        4        4        4        4        0        16
13        Cruz Azul2        14        4        7        4        4        0        19
14        Atlante2        14        5        6        0        3        -3        21
15        Atlas2        14        10        1        2        0        2        31
16        Pumas2        14        5        7        4        3        1        22

1        Toluca        16        7        7        4        2        2        28
2        Pachuca        16        6        6        0        0        0        24
3        Chivas        16        6        5        0        0        0        23
